BusinessEntityID,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,CurrentFlag,PersonType,Department,GroupName,StartDate,Rate,PayFrequency
1,0,Chief Executive Officer,29/01/1969,S,M,14/01/2009,1,1,EM,Executive,Executive General and Administration,14/01/2009,125.5,2
2,1,Vice President of Engineering,01/08/1971,S,F,31/01/2008,1,1,EM,Engineering,Research and Development,31/01/2008,63.4615,2
3,2,Engineering Manager,12/11/1974,M,M,11/11/2007,1,1,EM,Engineering,Research and Development,11/11/2007,43.2692,2
4,3,Senior Tool Designer,23/12/1974,S,M,05/12/2007,0,1,EM,Tool Design,Research and Development,31/05/2010,29.8462,2
5,3,Design Engineer,27/09/1952,M,F,06/01/2008,1,1,EM,Engineering,Research and Development,06/01/2008,32.6923,2
6,3,Design Engineer,11/03/1959,M,M,24/01/2008,1,1,EM,Engineering,Research and Development,24/01/2008,32.6923,2
7,3,Research and Development Manager,24/02/1987,M,M,08/02/2009,1,1,EM,Research and Development,Research and Development,08/02/2009,50.4808,2
8,4,Research and Development Engineer,05/06/1986,S,F,29/12/2008,1,1,EM,Research and Development,Research and Development,29/12/2008,40.8654,2
9,4,Research and Development Engineer,21/01/1979,M,F,16/01/2009,1,1,EM,Research and Development,Research and Development,16/01/2009,40.8654,2
10,4,Research and Development Manager,30/11/1984,M,M,03/05/2009,1,1,EM,Research and Development,Research and Development,03/05/2009,42.4808,2
11,3,Senior Tool Designer,17/01/1978,S,M,05/12/2010,0,1,EM,Tool Design,Research and Development,05/12/2010,28.8462,2
12,4,Tool Designer,29/07/1959,M,M,11/12/2007,0,1,EM,Tool Design,Research and Development,11/12/2007,25,2
13,4,Tool Designer,28/05/1989,M,F,23/12/2010,0,1,EM,Tool Design,Research and Development,23/12/2010,25,2
14,3,Senior Design Engineer,16/06/1979,S,M,30/12/2010,1,1,EM,Engineering,Research and Development,30/12/2010,36.0577,2
15,3,Design Engineer,02/05/1961,M,F,18/01/2011,1,1,EM,Engineering,Research and Development,18/01/2011,32.6923,2
16,1,Marketing Manager,19/03/1975,S,M,20/12/2007,1,1,EM,Marketing,Sales and Marketing,15/07/2009,37.5,2
17,2,Marketing Assistant,03/05/1987,S,M,26/01/2007,0,1,EM,Marketing,Sales and Marketing,26/01/2007,13.4615,2
18,2,Marketing Specialist,06/03/1978,S,M,07/02/2011,0,1,EM,Marketing,Sales and Marketing,07/02/2011,14.4231,2
19,2,Marketing Assistant,29/01/1978,S,F,14/02/2011,0,1,EM,Marketing,Sales and Marketing,14/02/2011,13.4615,2
20,2,Marketing Assistant,17/03/1975,M,F,07/01/2011,0,1,EM,Marketing,Sales and Marketing,07/01/2011,13.4615,2
21,2,Marketing Specialist,04/02/1986,M,M,02/03/2009,0,1,EM,Marketing,Sales and Marketing,02/03/2009,14.4231,2
22,2,Marketing Specialist,21/05/1987,S,M,12/12/2008,0,1,EM,Marketing,Sales and Marketing,12/12/2008,14.4231,2
23,2,Marketing Specialist,13/09/1962,M,F,12/01/2009,0,1,EM,Marketing,Sales and Marketing,12/01/2009,14.4231,2
24,2,Marketing Specialist,18/06/1979,M,F,18/01/2009,0,1,EM,Marketing,Sales and Marketing,18/01/2009,14.4231,2
25,1,Vice President of Production,07/01/1983,S,M,03/02/2009,1,1,EM,Production,Manufacturing,03/02/2009,84.1346,2
26,2,Production Control Manager,03/11/1982,M,M,01/12/2008,1,1,EM,Production Control,Manufacturing,01/12/2008,24.5192,2
27,3,Production Supervisor - WC60,08/10/1956,S,F,27/02/2008,0,1,EM,Production,Manufacturing,27/02/2008,25,2
28,4,Production Technician - WC60,13/03/1988,M,M,30/06/2006,0,1,EM,Production,Manufacturing,30/06/2006,12.45,1
29,4,Production Technician - WC60,25/09/1979,S,M,23/01/2009,0,1,EM,Production,Manufacturing,23/01/2009,12.45,1
30,4,Production Technician - WC60,28/09/1989,M,F,29/01/2009,0,1,EM,Production,Manufacturing,29/01/2009,12.45,1
31,4,Production Technician - WC60,20/05/1986,M,F,04/01/2009,0,1,EM,Production,Manufacturing,04/01/2009,12.45,1
32,4,Production Technician - WC60,10/07/1977,M,F,29/12/2008,0,1,EM,Production,Manufacturing,29/12/2008,12.45,1
33,4,Production Technician - WC60,26/12/1976,M,M,17/12/2008,0,1,EM,Production,Manufacturing,17/12/2008,12.45,1
